module           : False
lamda            : 256
regularize_to    : other
attack_to        : other
loss_type        : sim
advtrain_type    : Rep
train_type       : contrastive
lr               : 0.1
lr_multiplier    : 15.0
decay            : 1e-06
dataset          : cifar-10
load_checkpoint  : ./checkpoint/ckpt.t7one_task_0
resume           : False
model            : ResNet18
name             : Run3
seed             : 0
batch_size       : 256
epoch            : 101
color_jitter_strength : 0.5
temperature      : 0.5
local_rank       : 0
ngpu             : 1
min              : 0.0
max              : 1.0
attack_type      : linf
epsilon          : 0.0314
alpha            : 0.007
k                : 7
random_start     : True
==> Preparing data..
Downloading https://www.cs.toronto.edu/~kriz/cifar-10-python.tar.gz to ./Data/cifar-10-python.tar.gz
Extracting ./Data/cifar-10-python.tar.gz to ./Data
Files already downloaded and verified
==> Building model..
torch.Size([1, 512])
ResNet18 is loading ...
Representation attack info ...
Rep_attack_ep_0.0314_alpha_0.007_min_val_0.0_max_val_1.0_max_iters_7_type_linf_randomstart_True
Using CUDA..
Training info...
results/log_Run3Rep_attack_ep_0.0314_alpha_0.007_min_val_0.0_max_val_1.0_max_iters_7_type_linf_randomstart_Truecontrastive_ResNet18_cifar-10_b256_nGPU1_l256_0
Run3Rep_attack_ep_0.0314_alpha_0.007_min_val_0.0_max_val_1.0_max_iters_7_type_linf_randomstart_Truecontrastive_ResNet18_cifar-10_b256_nGPU1_l256

Epoch: 0
 [>.....................................................................................]  Step: 19s651ms | Tot: 0ms | Loss: 13.162 | SimLoss: 13.137 | Adv: 0.02 1/196 
 [>.....................................................................................]  Step: 1s845ms | Tot: 1s846ms | Loss: 13.088 | SimLoss: 13.064 | Adv: 0.02 2/196 
 [>.....................................................................................]  Step: 1s831ms | Tot: 3s677ms | Loss: 13.134 | SimLoss: 13.110 | Adv: 0.02 3/196 
 [=>....................................................................................]  Step: 1s833ms | Tot: 5s511ms | Loss: 13.157 | SimLoss: 13.132 | Adv: 0.02 4/196 
 [=>....................................................................................]  Step: 1s834ms | Tot: 7s346ms | Loss: 13.165 | SimLoss: 13.141 | Adv: 0.02 5/196 
 [==>...................................................................................]  Step: 1s840ms | Tot: 9s186ms | Loss: 13.165 | SimLoss: 13.141 | Adv: 0.02 6/196 
 [==>...................................................................................]  Step: 1s832ms | Tot: 11s18ms | Loss: 13.154 | SimLoss: 13.130 | Adv: 0.02 7/196 
 [===>..................................................................................]  Step: 1s834ms | Tot: 12s853ms | Loss: 13.129 | SimLoss: 13.104 | Adv: 0.02 8/196 
 [===>..................................................................................]  Step: 1s833ms | Tot: 14s686ms | Loss: 13.109 | SimLoss: 13.084 | Adv: 0.02 9/196 
 [===>..................................................................................]  Step: 1s837ms | Tot: 16s524ms | Loss: 13.088 | SimLoss: 13.063 | Adv: 0.02 10/196 
 [====>.................................................................................]  Step: 1s833ms | Tot: 18s357ms | Loss: 13.067 | SimLoss: 13.043 | Adv: 0.02 11/196 
 [====>.................................................................................]  Step: 1s833ms | Tot: 20s191ms | Loss: 13.049 | SimLoss: 13.025 | Adv: 0.02 12/196 
 [=====>................................................................................]  Step: 1s833ms | Tot: 22s25ms | Loss: 13.035 | SimLoss: 13.011 | Adv: 0.02 13/196 
 [=====>................................................................................]  Step: 1s834ms | Tot: 23s859ms | Loss: 13.015 | SimLoss: 12.990 | Adv: 0.02 14/196 
 [======>...............................................................................]  Step: 1s835ms | Tot: 25s694ms | Loss: 12.997 | SimLoss: 12.973 | Adv: 0.02 15/196 
 [======>...............................................................................]  Step: 1s835ms | Tot: 27s530ms | Loss: 12.979 | SimLoss: 12.955 | Adv: 0.02 16/196 
 [=======>..............................................................................]  Step: 1s836ms | Tot: 29s366ms | Loss: 12.954 | SimLoss: 12.929 | Adv: 0.02 17/196 
 [=======>..............................................................................]  Step: 1s833ms | Tot: 31s199ms | Loss: 12.933 | SimLoss: 12.908 | Adv: 0.02 18/196 
 [=======>..............................................................................]  Step: 1s835ms | Tot: 33s34ms | Loss: 12.917 | SimLoss: 12.893 | Adv: 0.02 19/196 
 [========>.............................................................................]  Step: 1s834ms | Tot: 34s869ms | Loss: 12.905 | SimLoss: 12.880 | Adv: 0.02 20/196 
 [========>.............................................................................]  Step: 1s837ms | Tot: 36s706ms | Loss: 12.881 | SimLoss: 12.857 | Adv: 0.02 21/196 
 [=========>............................................................................]  Step: 1s834ms | Tot: 38s541ms | Loss: 12.868 | SimLoss: 12.844 | Adv: 0.02 22/196 
 [=========>............................................................................]  Step: 1s832ms | Tot: 40s374ms | Loss: 12.854 | SimLoss: 12.830 | Adv: 0.02 23/196 
 [==========>...........................................................................]  Step: 1s835ms | Tot: 42s209ms | Loss: 12.839 | SimLoss: 12.814 | Adv: 0.02 24/196 
 [==========>...........................................................................]  Step: 1s834ms | Tot: 44s44ms | Loss: 12.820 | SimLoss: 12.796 | Adv: 0.02 25/196 
 [==========>...........................................................................]  Step: 1s834ms | Tot: 45s879ms | Loss: 12.802 | SimLoss: 12.778 | Adv: 0.02 26/196 
 [===========>..........................................................................]  Step: 1s835ms | Tot: 47s714ms | Loss: 12.788 | SimLoss: 12.763 | Adv: 0.02 27/196 
 [===========>..........................................................................]  Step: 1s833ms | Tot: 49s547ms | Loss: 12.771 | SimLoss: 12.747 | Adv: 0.02 28/196 
 [============>.........................................................................]  Step: 1s835ms | Tot: 51s382ms | Loss: 12.760 | SimLoss: 12.736 | Adv: 0.02 29/196 
 [============>.........................................................................]  Step: 1s834ms | Tot: 53s217ms | Loss: 12.744 | SimLoss: 12.720 | Adv: 0.02 30/196 
 [=============>........................................................................]  Step: 1s837ms | Tot: 55s55ms | Loss: 12.728 | SimLoss: 12.704 | Adv: 0.02 31/196 
 [=============>........................................................................]  Step: 1s834ms | Tot: 56s890ms | Loss: 12.712 | SimLoss: 12.688 | Adv: 0.02 32/196 
 [==============>.......................................................................]  Step: 1s835ms | Tot: 58s725ms | Loss: 12.697 | SimLoss: 12.673 | Adv: 0.02 33/196 
 [==============>.......................................................................]  Step: 1s834ms | Tot: 1m560ms | Loss: 12.686 | SimLoss: 12.662 | Adv: 0.02 34/196 
 [==============>.......................................................................]  Step: 1s835ms | Tot: 1m2s | Loss: 12.676 | SimLoss: 12.652 | Adv: 0.02 35/196 
 [===============>......................................................................]  Step: 1s834ms | Tot: 1m4s | Loss: 12.663 | SimLoss: 12.639 | Adv: 0.02 36/196 
 [===============>......................................................................]  Step: 1s833ms | Tot: 1m6s | Loss: 12.647 | SimLoss: 12.623 | Adv: 0.02 37/196 
 [================>.....................................................................]  Step: 1s833ms | Tot: 1m7s | Loss: 12.639 | SimLoss: 12.614 | Adv: 0.02 38/196 
 [================>.....................................................................]  Step: 1s836ms | Tot: 1m9s | Loss: 12.630 | SimLoss: 12.606 | Adv: 0.02 39/196 
 [=================>....................................................................]  Step: 1s835ms | Tot: 1m11s | Loss: 12.620 | SimLoss: 12.596 | Adv: 0.02 40/196 
 [=================>....................................................................]  Step: 1s836ms | Tot: 1m13s | Loss: 12.613 | SimLoss: 12.589 | Adv: 0.02 41/196 
 [=================>....................................................................]  Step: 1s833ms | Tot: 1m15s | Loss: 12.603 | SimLoss: 12.578 | Adv: 0.02 42/196 
 [==================>...................................................................]  Step: 1s837ms | Tot: 1m17s | Loss: 12.594 | SimLoss: 12.570 | Adv: 0.02 43/196 
 [==================>...................................................................]  Step: 1s832ms | Tot: 1m18s | Loss: 12.580 | SimLoss: 12.556 | Adv: 0.02 44/196 
 [===================>..................................................................]  Step: 1s833ms | Tot: 1m20s | Loss: 12.571 | SimLoss: 12.547 | Adv: 0.02 45/196 
 [===================>..................................................................]  Step: 1s834ms | Tot: 1m22s | Loss: 12.562 | SimLoss: 12.538 | Adv: 0.02 46/196 
 [====================>.................................................................]  Step: 1s835ms | Tot: 1m24s | Loss: 12.551 | SimLoss: 12.527 | Adv: 0.02 47/196 
 [====================>.................................................................]  Step: 1s833ms | Tot: 1m26s | Loss: 12.546 | SimLoss: 12.522 | Adv: 0.02 48/196 
 [=====================>................................................................]  Step: 1s833ms | Tot: 1m28s | Loss: 12.537 | SimLoss: 12.513 | Adv: 0.02 49/196 
 [=====================>................................................................]  Step: 1s833ms | Tot: 1m29s | Loss: 12.530 | SimLoss: 12.506 | Adv: 0.02 50/196 
 [=====================>................................................................]  Step: 1s837ms | Tot: 1m31s | Loss: 12.524 | SimLoss: 12.500 | Adv: 0.02 51/196 
 [======================>...............................................................]  Step: 1s835ms | Tot: 1m33s | Loss: 12.519 | SimLoss: 12.495 | Adv: 0.02 52/196 
 [======================>...............................................................]  Step: 1s835ms | Tot: 1m35s | Loss: 12.512 | SimLoss: 12.488 | Adv: 0.02 53/196 
 [=======================>..............................................................]  Step: 1s835ms | Tot: 1m37s | Loss: 12.510 | SimLoss: 12.485 | Adv: 0.02 54/196 
 [=======================>..............................................................]  Step: 1s838ms | Tot: 1m39s | Loss: 12.504 | SimLoss: 12.480 | Adv: 0.02 55/196 
 [========================>.............................................................]  Step: 1s834ms | Tot: 1m40s | Loss: 12.499 | SimLoss: 12.475 | Adv: 0.02 56/196 
 [========================>.............................................................]  Step: 1s833ms | Tot: 1m42s | Loss: 12.494 | SimLoss: 12.470 | Adv: 0.02 57/196 
 [=========================>............................................................]  Step: 1s836ms | Tot: 1m44s | Loss: 12.485 | SimLoss: 12.461 | Adv: 0.02 58/196 
 [=========================>............................................................]  Step: 1s835ms | Tot: 1m46s | Loss: 12.478 | SimLoss: 12.454 | Adv: 0.02 59/196 
 [=========================>............................................................]  Step: 1s828ms | Tot: 1m48s | Loss: 12.471 | SimLoss: 12.447 | Adv: 0.02 60/196 
 [==========================>...........................................................]  Step: 1s827ms | Tot: 1m50s | Loss: 12.468 | SimLoss: 12.444 | Adv: 0.02 61/196 
 [==========================>...........................................................]  Step: 1s828ms | Tot: 1m51s | Loss: 12.463 | SimLoss: 12.439 | Adv: 0.02 62/196 
 [===========================>..........................................................]  Step: 1s829ms | Tot: 1m53s | Loss: 12.456 | SimLoss: 12.432 | Adv: 0.02 63/196 
 [===========================>..........................................................]  Step: 1s844ms | Tot: 1m55s | Loss: 12.451 | SimLoss: 12.427 | Adv: 0.02 64/196 
 [============================>.........................................................]  Step: 1s830ms | Tot: 1m57s | Loss: 12.447 | SimLoss: 12.423 | Adv: 0.02 65/196 
 [============================>.........................................................]  Step: 1s833ms | Tot: 1m59s | Loss: 12.443 | SimLoss: 12.419 | Adv: 0.02 66/196 
 [============================>.........................................................]  Step: 1s831ms | Tot: 2m1s | Loss: 12.439 | SimLoss: 12.415 | Adv: 0.02 67/196 
 [=============================>........................................................]  Step: 1s834ms | Tot: 2m2s | Loss: 12.433 | SimLoss: 12.409 | Adv: 0.02 68/196 
 [=============================>........................................................]  Step: 1s833ms | Tot: 2m4s | Loss: 12.430 | SimLoss: 12.406 | Adv: 0.02 69/196 
 [==============================>.......................................................]  Step: 1s832ms | Tot: 2m6s | Loss: 12.424 | SimLoss: 12.400 | Adv: 0.02 70/196 
 [==============================>.......................................................]  Step: 1s832ms | Tot: 2m8s | Loss: 12.417 | SimLoss: 12.393 | Adv: 0.02 71/196 
 [===============================>......................................................]  Step: 1s837ms | Tot: 2m10s | Loss: 12.412 | SimLoss: 12.388 | Adv: 0.02 72/196 
 [===============================>......................................................]  Step: 1s832ms | Tot: 2m12s | Loss: 12.407 | SimLoss: 12.383 | Adv: 0.02 73/196 
 [================================>.....................................................]  Step: 1s830ms | Tot: 2m13s | Loss: 12.404 | SimLoss: 12.380 | Adv: 0.02 74/196 
 [================================>.....................................................]  Step: 1s832ms | Tot: 2m15s | Loss: 12.400 | SimLoss: 12.376 | Adv: 0.02 75/196 
 [================================>.....................................................]  Step: 1s832ms | Tot: 2m17s | Loss: 12.397 | SimLoss: 12.373 | Adv: 0.02 76/196 
 [=================================>....................................................]  Step: 1s830ms | Tot: 2m19s | Loss: 12.393 | SimLoss: 12.369 | Adv: 0.02 77/196 
 [=================================>....................................................]  Step: 1s831ms | Tot: 2m21s | Loss: 12.388 | SimLoss: 12.364 | Adv: 0.02 78/196 
 [==================================>...................................................]  Step: 1s832ms | Tot: 2m23s | Loss: 12.384 | SimLoss: 12.360 | Adv: 0.02 79/196 
 [==================================>...................................................]  Step: 1s833ms | Tot: 2m24s | Loss: 12.380 | SimLoss: 12.356 | Adv: 0.02 80/196 
 [===================================>..................................................]  Step: 1s830ms | Tot: 2m26s | Loss: 12.376 | SimLoss: 12.352 | Adv: 0.02 81/196 
 [===================================>..................................................]  Step: 1s831ms | Tot: 2m28s | Loss: 12.373 | SimLoss: 12.349 | Adv: 0.02 82/196 
 [===================================>..................................................]  Step: 1s829ms | Tot: 2m30s | Loss: 12.370 | SimLoss: 12.346 | Adv: 0.02 83/196 
 [====================================>.................................................]  Step: 1s832ms | Tot: 2m32s | Loss: 12.365 | SimLoss: 12.341 | Adv: 0.02 84/196 
 [====================================>.................................................]  Step: 1s842ms | Tot: 2m34s | Loss: 12.361 | SimLoss: 12.337 | Adv: 0.02 85/196 
 [=====================================>................................................]  Step: 1s828ms | Tot: 2m35s | Loss: 12.357 | SimLoss: 12.333 | Adv: 0.02 86/196 
 [=====================================>................................................]  Step: 1s831ms | Tot: 2m37s | Loss: 12.353 | SimLoss: 12.329 | Adv: 0.02 87/196 
 [======================================>...............................................]  Step: 1s831ms | Tot: 2m39s | Loss: 12.348 | SimLoss: 12.324 | Adv: 0.02 88/196 
 [======================================>...............................................]  Step: 1s832ms | Tot: 2m41s | Loss: 12.343 | SimLoss: 12.319 | Adv: 0.02 89/196 
 [=======================================>..............................................]  Step: 1s833ms | Tot: 2m43s | Loss: 12.339 | SimLoss: 12.315 | Adv: 0.02 90/196 
 [=======================================>..............................................]  Step: 1s828ms | Tot: 2m45s | Loss: 12.335 | SimLoss: 12.311 | Adv: 0.02 91/196 
 [=======================================>..............................................]  Step: 1s830ms | Tot: 2m46s | Loss: 12.331 | SimLoss: 12.307 | Adv: 0.02 92/196 
 [========================================>.............................................]  Step: 1s827ms | Tot: 2m48s | Loss: 12.327 | SimLoss: 12.303 | Adv: 0.02 93/196 
 [========================================>.............................................]  Step: 1s829ms | Tot: 2m50s | Loss: 12.324 | SimLoss: 12.300 | Adv: 0.02 94/196 
 [=========================================>............................................]  Step: 1s830ms | Tot: 2m52s | Loss: 12.321 | SimLoss: 12.297 | Adv: 0.02 95/196 
 [=========================================>............................................]  Step: 1s828ms | Tot: 2m54s | Loss: 12.318 | SimLoss: 12.294 | Adv: 0.02 96/196 
 [==========================================>...........................................]  Step: 1s829ms | Tot: 2m56s | Loss: 12.317 | SimLoss: 12.293 | Adv: 0.02 97/196 
 [==========================================>...........................................]  Step: 1s828ms | Tot: 2m57s | Loss: 12.314 | SimLoss: 12.290 | Adv: 0.02 98/196 
 [===========================================>..........................................]  Step: 1s830ms | Tot: 2m59s | Loss: 12.310 | SimLoss: 12.286 | Adv: 0.02 99/196 
 [===========================================>..........................................]  Step: 1s827ms | Tot: 3m1s | Loss: 12.307 | SimLoss: 12.283 | Adv: 0.02 100/196 
